accession	record_class	length_bp	n_ambiguous	strand_vs_reference	n_anchor_chains	ref_span_start	ref_span_end	genes_covered	n_guides_scored
AB047376.1	subgenomic	1243	0	-	1	46561	47801		0
AB047377.1	subgenomic	1253	0	-	1	46551	47803		0
AB047378.1	subgenomic	1252	0	-	1	46552	47800		0
AB070847.2	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB070848.2	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB072389.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB078742.1	subgenomic	1131	0	-	1	46673	47777		0
AB220986.1	subgenomic	1467	0	+	1	93112	94576		0
AB220987.1	subgenomic	1467	0	+	1	93112	94576		0
AB220988.1	subgenomic	1467	0	+	1	93112	94576		0
AB220989.1	subgenomic	1467	0	+	1	93136	94576		0
AB220990.1	subgenomic	1467	0	+	1	93112	94560		0
AB220991.1	subgenomic	1467	0	+	1	93136	94576		0
AB231455.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB231456.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB231457.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB231458.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB231459.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB231460.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB235841.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AB235842.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AB235843.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AB235844.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AB235845.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AB247570.1	subgenomic	2649	0	-	1	12484	15132	UL5	483
AB247571.1	subgenomic	2649	0	-	1	12484	15132	UL5	483
AB247572.1	subgenomic	2649	0	-	1	12484	15132	UL5	483
AB247573.1	subgenomic	3591	0	-	1	58464	62052	UL29	783
AB247574.1	subgenomic	3591	0	-	1	58464	62052	UL29	783
AB247575.1	subgenomic	3591	0	-	1	58464	62052	UL29	783
AB247576.1	subgenomic	3591	0	-	1	58464	62052	UL29	783
AB247577.1	subgenomic	3591	0	-	1	58464	62052	UL29	777
AB247578.1	subgenomic	3591	0	-	1	58464	62052	UL29	783
AB247579.1	subgenomic	3177	0	+	1	109049	112225	UL52	673
AB247580.1	subgenomic	3177	0	+	1	109049	112225	UL52	673
AB247581.1	subgenomic	3177	0	+	1	109049	112225	UL52	673
AB252708.1	subgenomic	2112	0	-	1	31399	33495		0
AB252709.1	subgenomic	1743	0	+	1	48826	50554		0
AB252710.1	subgenomic	906	0	-	1	105487	106391		0
AB252711.1	subgenomic	675	0	+	1	9338	10010		0
AB252712.1	subgenomic	2031	0	+	1	15131	17159	UL5	0
AB252713.1	subgenomic	2358	0	-	1	55803	58159		0
AB252863.1	subgenomic	2715	0	-	1	53081	55765		0
AB252864.1	subgenomic	921	0	-	1	66459	67367	UL30	0
AB252865.1	subgenomic	1791	0	-	1	67372	69160		0
AB252866.1	subgenomic	393	0	+	1	69161	69553		0
AB252867.1	subgenomic	828	0	+	1	69661	70457		0
AB252868.1	subgenomic	339	0	+	1	70566	70902		0
AB256521.1	subgenomic	1398	0	+	1	84531	85927		0
AB266255.1	subgenomic	177	0	+	1	144683	144791		0
AB266256.1	subgenomic	177	0	+	1	144683	144791		0
AB266257.1	subgenomic	177	0	+	1	144683	144791		0
AB266258.1	subgenomic	177	0	+	1	144683	144791		0
AB266259.1	subgenomic	177	0	+	1	144683	144791		0
AB266260.1	subgenomic	159	0	+	1	144683	144827		0
AB266261.1	subgenomic	159	0	+	1	144683	144827		0
AB297668.1	subgenomic	717	0	+	1	136747	137463		0
AB297669.1	subgenomic	720	0	+	1	136747	137460		0
AB297670.1	subgenomic	720	0	+	1	136747	137460		0
AB329728.1	subgenomic	357	0	-	2	23	152207		0
AB329729.1	subgenomic	290	0	-	4	23	152210		0
AB329730.1	subgenomic	278	0	-	4	23	152209		0
AB329731.1	subgenomic	288	0	-	4	23	152210		0
AB329732.1	subgenomic	368	0	-	2	23	152209		0
AB329733.1	subgenomic	320	0	-	4	23	152208		0
AB329734.1	subgenomic	331	0	-	4	23	152209		0
AB329735.1	subgenomic	364	0	-	2	23	152208		0
AB329736.1	subgenomic	411	0	-	2	19	152201		0
AB329737.1	subgenomic	376	0	-	2	19	152208		0
AB329738.1	subgenomic	323	0	-	4	19	152201		0
AB329739.1	subgenomic	327	0	-	4	19	152209		0
AB329740.1	subgenomic	269	0	-	4	23	152209		0
AB329741.1	subgenomic	313	0	-	4	23	152210		0
AB329742.1	subgenomic	281	0	-	4	19	152195		0
AB329743.1	subgenomic	260	0	-	4	19	152196		0
AB329744.1	subgenomic	316	0	-	4	19	152204		0
AB329745.1	subgenomic	341	0	-	2	23	152207		0
AB329746.1	subgenomic	349	0	-	2	23	152210		0
AB329747.1	subgenomic	281	0	-	4	19	152208		0
AB329748.1	subgenomic	297	0	-	4	19	152207		0
AB329749.1	subgenomic	394	0	-	2	47	152209		0
AB329750.1	subgenomic	399	0	-	2	19	152209		0
AB329751.1	subgenomic	236	0	-	4	47	152208		0
AB329752.1	subgenomic	250	0	-	4	47	152210		0
AB329753.1	subgenomic	224	0	-	4	47	152152		0
AB365522.1	subgenomic	177	0	+	1	144683	144827		0
AB365523.1	subgenomic	177	0	+	1	144683	144827		0
AB365524.1	subgenomic	177	0	+	1	144683	144827		0
AB365525.1	subgenomic	177	0	+	1	144683	144827		0
AB426482.1	subgenomic	177	0	+	1	144683	144827		0
AB426483.1	subgenomic	177	0	+	1	144683	144827		0
AB426484.1	subgenomic	177	0	+	1	144683	144827		0
AB426485.1	subgenomic	177	0	+	1	144683	144827		0
AB426486.1	subgenomic	177	0	+	1	144683	144886		0
AB426487.1	subgenomic	177	0	+	1	144683	144886		0
AB426488.1	subgenomic	177	0	+	1	144683	144886		0
AB426489.1	subgenomic	177	0	+	1	144683	144886		0
AB691131.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB691132.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB691133.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB691550.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB691551.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB691552.1	subgenomic	3708	0	+	1	62807	66511	UL30	794
AB713519.1	subgenomic	1131	0	-	1	46673	47801		0
AB713520.1	subgenomic	1131	0	-	1	46673	47801		0
AB856424.1	subgenomic	186	0	+	2	144683	144885		0
AB856425.1	subgenomic	186	0	+	2	144683	144885		0
AB856426.1	subgenomic	186	0	+	2	144683	144885		0
AB856427.1	subgenomic	186	0	+	2	144683	144885		0
AB856428.1	subgenomic	186	0	+	2	144683	144885		0
AB856429.1	subgenomic	186	0	+	2	144683	144885		0
AB856430.1	subgenomic	186	0	+	2	144683	144885		0
AB856431.1	subgenomic	186	0	+	2	144683	144885		0
AB856432.1	subgenomic	186	0	+	2	144683	144885		0
AB856433.1	subgenomic	186	0	+	2	144683	144885		0
AB856434.1	subgenomic	186	0	+	2	144683	144885		0
AB856435.1	subgenomic	186	0	+	2	144683	144885		0
AB856436.1	subgenomic	168	0	+	1	144683	144835		0
AB856437.1	subgenomic	177	0	+	1	144683	144827		0
AB856438.1	subgenomic	177	0	+	1	144683	144827		0
AB856439.1	subgenomic	177	0	+	1	144683	144827		0
AB856440.1	subgenomic	177	0	+	1	144683	144827		0
AB856441.1	subgenomic	177	0	+	1	144683	144827		0
AB856442.1	subgenomic	177	0	+	1	144683	144827		0
AB856443.1	subgenomic	177	0	+	1	144683	144827		0
AB856444.1	subgenomic	177	0	+	1	144683	144827		0
AB856445.1	subgenomic	177	0	+	1	144683	144827		0
AB856446.1	subgenomic	177	0	+	1	144683	144827		0
AB856447.1	subgenomic	177	0	+	1	144683	144827		0
AB856448.1	subgenomic	177	0	+	1	144683	144827		0
AB856449.1	subgenomic	177	0	+	1	144683	144827		0
AB856450.1	subgenomic	177	0	+	1	144683	144827		0
AB856451.1	subgenomic	177	0	+	1	144683	144827		0
AB856452.1	subgenomic	177	0	+	1	144683	144827		0
AB856453.1	subgenomic	177	0	+	1	144683	144827		0
AB856454.1	subgenomic	177	0	+	1	144683	144827		0
AB856455.1	subgenomic	177	0	+	1	144683	144827		0
AB856456.1	subgenomic	195	0	+	1	144683	144827		0
AB856457.1	subgenomic	159	0	+	1	144683	144827		0
AB856458.1	subgenomic	159	0	+	1	144683	144827		0
AB856459.1	subgenomic	177	0	+	1	144683	144827		0
AB856460.1	subgenomic	213	0	+	1	144683	144827		0
AB856461.1	subgenomic	177	0	+	1	144683	144827		0
AB856462.1	subgenomic	177	0	+	1	144683	144827		0
AB856463.1	subgenomic	177	0	+	1	144683	144827		0
AB856464.1	subgenomic	177	0	+	1	144683	144827		0
AB856465.1	subgenomic	177	0	+	1	144683	144827		0
AB856466.1	subgenomic	177	0	+	1	144683	144827		0
AB856467.1	subgenomic	177	0	+	1	144683	144827		0
AB856468.1	subgenomic	177	0	+	1	144683	144827		0
AB856469.1	subgenomic	177	0	+	1	144683	144827		0
AB856470.1	subgenomic	182	0	+	1	144683	144827		0
AB856471.1	subgenomic	159	0	+	1	144683	144827		0
AB856472.1	subgenomic	177	0	+	1	144683	144827		0
AB856473.1	subgenomic	177	0	+	1	144683	144827		0
AB856474.1	subgenomic	177	0	+	1	144683	144827		0
AB856475.1	subgenomic	177	0	+	1	144683	144827		0
AB856476.1	subgenomic	177	0	+	1	144683	144827		0
AB856477.1	subgenomic	180	0	+	1	144683	144827		0
AB856478.1	subgenomic	177	0	+	1	144683	144827		0
AB856479.1	subgenomic	177	0	+	1	144719	144827		0
AB856480.1	subgenomic	177	0	+	1	144683	144791		0
AB856481.1	subgenomic	177	0	+	1	144719	144827		0
AF007815.1	subgenomic	2172	0	-	1	90559	92727		0
AF035012.1	subgenomic	1017	0	+	1	112180	113196	UL52	4
AF041142.1	subgenomic	1441	0	+	1	118866	120304		0
AF057310.1	subgenomic	1445	0	-	1	46664	48107		0
AF097023.1	subgenomic	2715	0	-	1	53081	55793		0
AF116192.1	subgenomic	759	1	+	1	136724	137445		0
AF116193.1	subgenomic	757	0	+	1	136722	137447		0
AF117114.1	subgenomic	756	0	+	1	136724	137460		0
AF117115.1	subgenomic	756	0	+	1	136724	137460		0
AF117116.1	subgenomic	756	0	+	1	136724	137460		0
AF117117.1	subgenomic	756	0	+	1	136724	137460		0
AF117118.1	subgenomic	756	0	+	1	136724	137460		0
AF117119.1	subgenomic	756	0	+	1	136724	137460		0
AF117120.1	subgenomic	756	0	+	1	136724	137460		0
AF117121.1	subgenomic	756	0	+	1	136724	137460		0
AF117122.1	subgenomic	756	0	+	1	136708	137460		0
AF117123.1	subgenomic	756	0	+	1	136724	137460		0
AF120934.1	subgenomic	756	0	+	1	136724	137460		0
AF135370.1	subgenomic	315	0	-	1	47269	47573		0
AF220940.1	subgenomic	1539	0	+	1	113735	115271	UL54	372
AF243477.1	subgenomic	1131	0	-	1	46673	47801		0
AF243478.1	subgenomic	1131	0	-	1	46673	47801		0
AF243479.1	subgenomic	1131	0	-	1	46681	47785		0
AF243480.1	subgenomic	1132	0	-	1	46681	47784		0
AF243481.1	subgenomic	1131	0	-	1	46673	47801		0
AF243482.1	subgenomic	1131	0	-	1	46673	47801		0
AF243483.1	subgenomic	1131	0	-	1	46673	47801		0
AF243484.1	subgenomic	1131	0	-	1	46673	47801		0
AF243485.1	subgenomic	1130	0	-	1	46673	47802		0
AF243486.1	subgenomic	1131	0	-	1	46673	47785		0
AF243487.1	subgenomic	1131	0	-	1	46673	47785		0
AF243488.1	subgenomic	1131	0	-	1	46673	47801		0
AF243489.1	subgenomic	1130	0	-	1	46673	47802		0
AF243490.1	subgenomic	1132	0	-	1	46673	47800		0
AF243491.1	subgenomic	1132	0	-	1	46673	47800		0
AF243492.1	subgenomic	1131	0	-	1	46685	47801		0
AF243493.1	subgenomic	1131	0	-	1	46681	47801		0
AF243494.1	subgenomic	1131	0	-	1	46681	47801		0
AF251158.1	subgenomic	947	0	+	7	403	1295		0
AF251159.1	subgenomic	824	0	+	6	539	1294		0
AF259899.1	subgenomic	2809	0	-	1	53108	55832		0
AF290017.1	subgenomic	325	0	+	5	145540	145832		0
AF290018.1	subgenomic	292	0	+	6	145540	145792		0
AF293614.1	subgenomic	1185	0	+	1	138423	139595		0
AF296257.1	subgenomic	2517	0	-	1	43867	46383		0
AF303108.1	subgenomic	1131	0	-	1	46693	47801		0
AF311740.1	subgenomic	2715	0	-	1	53081	55773		0
AF324427.1	subgenomic	268	0	+	5	132336	132607		0
AF324428.1	subgenomic	264	0	+	5	145540	145829		0
AF333383.1	subgenomic	1185	0	+	1	138423	139607		0
AF431736.1	subgenomic	1243	0	+	1	2117	3124	RL2	19
AF452491.1	subgenomic	178	0	+	1	65275	65451	UL30	30
AF452492.1	subgenomic	370	0	+	1	33761	34129		0
AF487901.1	subgenomic	1185	0	+	1	138423	139607		0
AF487902.1	subgenomic	1185	0	+	1	138423	139607		0
AF513114.1	subgenomic	288	0	+	1	136980	137172		0
AF513115.1	subgenomic	285	0	+	1	136983	137171		0
AF513116.1	subgenomic	285	0	+	1	136983	137171		0
AF513117.1	subgenomic	285	0	+	1	136983	137171		0
AF513118.1	subgenomic	285	0	+	1	136983	137171		0
AF513119.1	subgenomic	285	0	+	1	136983	137171		0
AF513120.1	subgenomic	285	0	+	1	136983	137171		0
AF513121.1	subgenomic	285	0	+	1	136983	137171		0
AF513122.1	subgenomic	285	0	+	1	136983	137171		0
AF513123.1	subgenomic	285	0	+	1	136983	137171		0
AF513124.1	subgenomic	285	0	+	1	136983	137171		0
AF513125.1	subgenomic	284	0	+	1	136983	137171		0
AF513126.1	subgenomic	285	0	+	1	136983	137171		0
AF513127.1	subgenomic	284	0	+	1	136983	137171		0
AF513128.1	subgenomic	285	0	+	1	136983	137171		0
AF513129.1	subgenomic	285	0	+	1	136983	137171		0
AF513130.1	subgenomic	285	0	+	1	136983	137171		0
AF513131.1	subgenomic	285	0	+	1	136983	137171		0
AF513132.1	subgenomic	285	0	+	1	136983	137171		0
AF513133.1	subgenomic	285	0	+	1	136983	137171		0
AF513134.1	subgenomic	285	0	+	1	136983	137171		0
AF513135.1	subgenomic	285	0	+	1	136983	137171		0
AF513136.1	subgenomic	285	0	+	1	136983	137171		0
AF513137.1	subgenomic	285	0	+	1	136983	137171		0
AF513138.1	subgenomic	285	0	+	1	136983	137171		0
AF513139.1	subgenomic	285	2	+	1	136983	137171		0
AF513140.1	subgenomic	285	0	+	1	136983	137171		0
AF513141.1	subgenomic	285	0	+	1	136983	137171		0
AF513142.1	subgenomic	285	0	+	1	136983	137171		0
AF513143.1	subgenomic	285	0	+	1	136983	137171		0
AF513144.1	subgenomic	285	0	+	1	136983	137215		0
AF513145.1	subgenomic	285	0	+	1	136983	137171		0
AF513146.1	subgenomic	285	0	+	1	136983	137171		0
AF513147.1	subgenomic	285	0	+	1	136983	137235		0
AF513148.1	subgenomic	282	0	+	1	136978	137234		0
AF513149.1	subgenomic	282	0	+	1	136954	137234		0
AF513150.1	subgenomic	282	0	+	1	136954	137234		0
AF513151.1	subgenomic	282	0	+	1	136978	137234		0
AF513152.1	subgenomic	282	0	+	1	136978	137234		0
AF513153.1	subgenomic	282	0	+	1	136954	137234		0
AF513154.1	subgenomic	282	0	+	1	136978	137234		0
AF513155.1	subgenomic	282	0	+	1	136954	137234		0
AF513156.1	subgenomic	282	0	+	1	136978	137234		0
AF513157.1	subgenomic	282	0	+	1	136954	137234		0
AF513158.1	subgenomic	282	0	+	1	136954	137234		0
AF513159.1	subgenomic	282	0	+	1	136954	137234		0
AF513160.1	subgenomic	282	0	+	1	136978	137234		0
AF513161.1	subgenomic	282	0	+	1	136954	137234		0
AF513162.1	subgenomic	282	0	+	1	136994	137234		0
AF513163.1	subgenomic	282	1	+	1	136978	137234		0
AF513164.1	subgenomic	282	0	+	1	136978	137234		0
AF513165.1	subgenomic	282	0	+	1	136978	137234		0
AF513166.1	subgenomic	282	0	+	1	136994	137234		0
AF513167.1	subgenomic	282	0	+	1	136978	137234		0
AF513168.1	subgenomic	282	1	+	1	136978	137234		0
AF513169.1	subgenomic	282	1	+	1	136978	137234		0
AF513170.1	subgenomic	282	0	+	1	136978	137234		0
AF513171.1	subgenomic	282	0	+	1	136978	137234		0
AF513172.1	subgenomic	281	1	+	1	136986	137235		0
AF513173.1	subgenomic	282	0	+	1	136954	137234		0
AF513174.1	subgenomic	282	0	+	1	136978	137234		0
AF513175.1	subgenomic	282	0	+	1	136978	137234		0
AF513176.1	subgenomic	282	0	+	1	136954	137234		0
AF513177.1	subgenomic	282	0	+	1	136978	137234		0
AF513178.1	subgenomic	282	0	+	1	136954	137234		0
AF513179.1	subgenomic	282	0	+	1	136978	137174		0
AF513180.1	subgenomic	282	0	+	1	136978	137226		0
AF513181.1	subgenomic	282	0	+	1	136978	137174		0
AF513182.1	subgenomic	282	0	+	1	136978	137174		0
AF513183.1	subgenomic	282	0	+	1	136978	137174		0
AF513184.1	subgenomic	282	0	+	1	136978	137174		0
AF513185.1	subgenomic	282	0	+	1	136978	137234		0
AF513186.1	subgenomic	282	0	+	1	136954	137234		0
AF513187.1	subgenomic	282	0	+	1	136978	137234		0
AF513188.1	subgenomic	282	0	+	1	136954	137234		0
AF513189.1	subgenomic	282	0	+	1	136978	137174		0
AF513190.1	subgenomic	282	0	+	1	136978	137234		0
AF513191.1	subgenomic	282	0	+	1	136978	137234		0
AF513192.1	subgenomic	282	0	+	1	136978	137234		0
AF513193.1	subgenomic	282	0	+	1	136978	137234		0
AF513194.1	subgenomic	282	0	+	1	136978	137234		0
AF513195.1	subgenomic	282	0	+	1	136978	137234		0
AF513196.1	subgenomic	283	0	+	1	136997	137233		0
AF513197.1	subgenomic	282	0	+	1	136954	137234		0
AF513198.1	subgenomic	282	0	+	1	136978	137234		0
AF513199.1	subgenomic	282	0	+	1	136954	137234		0
AF513200.1	subgenomic	282	0	+	1	136978	137234		0
AF513201.1	subgenomic	282	0	+	1	136954	137234		0
AF513202.1	subgenomic	282	0	+	1	136954	137234		0
AF513203.1	subgenomic	282	0	+	1	136978	137234		0
AF513204.1	subgenomic	282	0	+	1	136954	137234		0
AF513205.1	subgenomic	282	0	+	1	136954	137234		0
AF513206.1	subgenomic	282	0	+	1	136978	137234		0
AF513207.1	subgenomic	282	0	+	1	136978	137234		0
AF513208.1	subgenomic	282	0	+	1	136978	137234		0
AF513209.1	subgenomic	282	0	+	1	136978	137234		0
AF513210.1	subgenomic	285	0	+	1	136983	137215		0
AF513211.1	subgenomic	282	0	+	1	136978	137234		0
AF513212.1	subgenomic	282	0	+	1	136978	137234		0
AF513213.1	subgenomic	282	0	+	1	136978	137234		0
AF513214.1	subgenomic	282	0	+	1	136978	137234		0
AF513215.1	subgenomic	282	0	+	1	136978	137234		0
AF513216.1	subgenomic	282	0	+	1	136978	137234		0
AF513217.1	subgenomic	282	0	+	1	136978	137234		0
AF513218.1	subgenomic	282	0	+	1	136978	137234		0
AH002357.2	subgenomic	1192	100	-	2	55264	58870	UL29	94
AH002358.2	subgenomic	1774	400	+	5	28676	34860		0
AH002359.2	subgenomic	1476	100	+	2	125647	127409		0
AH002360.2	subgenomic	14100	300	+	2	92872	112405	UL52	1153
AJ133757.1	subgenomic	1800	0	+	1	96181	97978		0
AJ421487.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421488.1	subgenomic	1536	0	+	1	96320	97844		0
AJ421489.1	subgenomic	1536	1	+	1	96312	97844		0
AJ421490.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421491.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421492.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421493.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421494.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421495.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421496.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421497.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421498.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421499.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421500.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421501.1	subgenomic	1536	1	+	1	96312	97844		0
AJ421502.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421503.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421504.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421505.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421506.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421507.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421508.1	subgenomic	1536	0	+	1	96312	97844		0
AJ421509.1	subgenomic	1536	0	+	1	96312	97844		0
AJ626469.1	subgenomic	1658	2	+	1	141247	142897		0
AJ626470.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626471.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626472.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626473.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626474.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626475.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626476.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626477.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626478.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626479.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626480.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626481.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626482.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626483.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626484.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626485.1	subgenomic	1652	1	+	1	141247	142895		0
AJ626486.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626487.1	subgenomic	1646	0	+	1	141253	142897		0
AJ626488.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626489.1	subgenomic	1652	3	+	1	141247	142895		0
AJ626490.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626491.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626492.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626493.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626494.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626495.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626496.1	subgenomic	1658	0	+	1	141247	142897		0
AJ626497.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626498.1	subgenomic	1652	0	+	1	141247	142895		0
AJ626499.1	subgenomic	745	0	+	1	136723	137463		0
AJ626500.1	subgenomic	748	0	+	1	136723	137448		0
AJ626501.1	subgenomic	745	0	+	1	136723	137463		0
AJ626502.1	subgenomic	745	0	+	1	136719	137463		0
AJ626503.1	subgenomic	745	0	+	1	136723	137463		0
AJ626504.1	subgenomic	745	0	+	1	136719	137463		0
AJ626505.1	subgenomic	745	0	+	1	136723	137463		0
AJ626506.1	subgenomic	745	1	+	1	136723	137463		0
AJ626507.1	subgenomic	745	0	+	1	136723	137447		0
AJ626508.1	subgenomic	745	0	+	1	136723	137463		0
AJ626509.1	subgenomic	745	0	+	1	136723	137463		0
AJ626510.1	subgenomic	745	0	+	1	136723	137463		0
AJ626511.1	subgenomic	745	0	+	1	136723	137463		0
AJ626512.1	subgenomic	745	0	+	1	136719	137463		0
AJ626513.1	subgenomic	748	0	+	1	136723	137460		0
AJ626514.1	subgenomic	745	0	+	1	136719	137463		0
AJ626515.1	subgenomic	745	0	+	1	136719	137463		0
AJ626516.1	subgenomic	745	0	+	1	136719	137463		0
AJ626517.1	subgenomic	745	0	+	1	136719	137463		0
AJ626518.1	subgenomic	748	0	+	1	136723	137448		0
AJ626519.1	subgenomic	748	0	+	1	136723	137448		0
AJ626520.1	subgenomic	748	0	+	1	136723	137448		0
AJ626521.1	subgenomic	745	1	+	1	136723	137463		0
AJ626522.1	subgenomic	745	0	+	1	136723	137447		0
AJ626523.1	subgenomic	745	1	+	1	136723	137463		0
AJ626524.1	subgenomic	745	0	+	1	136723	137463		0
AJ626525.1	subgenomic	748	0	+	1	136723	137448		0
AJ626526.1	subgenomic	745	0	+	1	136723	137463		0
AJ626527.1	subgenomic	1215	1	+	4	139793	140959		0
AJ626528.1	subgenomic	1153	1	+	1	139793	140961		0
AJ626529.1	subgenomic	1188	0	+	4	139789	140958		0
AJ626530.1	subgenomic	1152	0	+	1	139789	140958		0
AJ626531.1	subgenomic	1194	0	+	3	139789	140960		0
AJ626532.1	subgenomic	1173	0	+	1	139789	140961		0
