accession	strain	length_bp	ambiguous_fraction	cluster_id	cluster_size	is_representative	nearest_accession	nearest_identity	nearest_jaccard
LT594108.1	nan	151216	0.00950296	12	1	True	ON152716.1	0.995998	0.8508
LT594109.1	nan	150791	0.00331585	13	1	True	OQ724912.1	0.996627	0.872
LT594110.1	nan	150842	0.01605654	14	1	True	MH999846.1	0.997031	0.886
LT594111.1	nan	151304	0.03565669	15	1	True	OP297862.1	0.995047	0.8202
LT594112.1	nan	150927	0.01339721	16	1	True	OP297879.1	0.995426	0.8322
LT594192.1	nan	150711	0.00885801	17	1	True	MH999849.1	0.996154	0.856
LT594457.1	nan	150378	0.0033582	18	1	True	OP297862.1	0.996046	0.8524
MH102298.1	HSV-v29_site16_day1	151108	0.01047595	19	1	True	ON960056.1	0.995124	0.8226
MH319852.1	NIV1613762	147898	0.0	20	1	True	KJ847330.1	0.998394	0.9358
MH999839.1	K86	151610	0.0	21	2	True	MH999840.1	0.999094	0.963
MH999840.1	Ty25	151249	0.0	21	2	False	MH999839.1	0.999094	0.963
MH999841.1	Ty148	153234	6.53e-06	22	1	True	ON513441.1	0.995451	0.833
MH999842.1	HSV-H12113	152599	2.621e-05	23	1	True	PZ169693.1	0.997542	0.9042
MH999844.1	HSV-H12114	151678	2.637e-05	24	1	True	OP871841.1	0.995073	0.821
MH999845.1	HSV-H12117	156077	0.00037161	25	1	True	MH999849.1	0.998686	0.947
MH999846.1	HSV-H1215	151140	3.308e-05	26	6	True	ON007142.1	0.999184	0.9666
ON007136.1	v48_d101_oral	150082	0.00021988	26	6	False	ON007142.1	0.999986	0.9994
ON007142.1	v49_d257_gen_les	150302	5.323e-05	26	6	False	ON007136.1	0.999986	0.9994
ON007149.1	v49_d349_gen_les	150503	0.00024584	26	6	False	ON007136.1	0.999986	0.9994
OP297875.1	v49_d257_cu_gen_les	150049	3.332e-05	26	6	False	ON007142.1	0.999943	0.9976
OR771672.1	nan	150875	0.00160398	26	6	False	MH999846.1	0.999013	0.9598
MH999847.1	HSV-H12118	151809	6.59e-06	27	1	True	OQ724835.1	0.995457	0.8332
MH999848.1	HSV-H1311	151461	5.942e-05	28	1	True	ON960054.1	0.996905	0.8816
MH999849.1	HSV-H1312	155011	2.58e-05	29	1	True	MH999845.1	0.998686	0.947
MH999850.1	HSV-H15119	155156	6.45e-06	30	1	True	PZ169695.1	0.997531	0.9038
MH999851.1	HSV-H1412	152094	2.63e-05	31	1	True	OP297866.1	0.997876	0.9164
MN136523.1	MacIntyre	152476	0.0	32	1	True	OQ724912.1	0.996256	0.8594
MN136524.1	McKrae	152361	0.0	33	4	True	PX969520.1	0.999828	0.9928
OR723971.1	nan	152106	0.0	33	4	False	MN136524.1	0.999755	0.9898
PX763612.1	nan	153693	0.00145094	33	4	False	MN136524.1	0.999595	0.9832
PX969520.1	nan	152247	0.0015107	33	4	False	MN136524.1	0.999828	0.9928
MN159383.1	nan	151223	0.0	34	1	True	MH999850.1	0.996744	0.876
MN925871.1	Sample4_DOCK8	150853	0.00040437	35	1	True	OQ724894.1	0.997865	0.916
ON007132.1	v40_unk_gen	150395	2.66e-05	36	2	True	ON007154.1	0.999976	0.999
ON007154.1	v40_y14_oral2	151325	0.00040311	36	2	False	ON007132.1	0.999976	0.999
ON007143.1	v46_d349_gen_les2	150444	5.318e-05	37	5	False	ON007151.1	0.999986	0.9994
ON007144.1	v46_d345_gen	150347	0.00066513	37	5	False	ON007151.1	0.999976	0.999
ON007151.1	v46_d349_gen_les3	150819	5.304e-05	37	5	False	ON007143.1	0.999986	0.9994
ON007158.1	v46_d349_gen_les1	150373	6.65e-05	37	5	False	ON007151.1	0.999981	0.9992
OP297868.1	HSV1-v46_d349_cu_gen_les	150131	3.33e-05	37	5	True	ON007151.1	0.999957	0.9982
ON007145.1	v45_d4_gen_les	150361	0.00015962	38	3	False	OP297881.1	0.999943	0.9976
OP297865.1	HSV1-v44_d2_cu_gen_les	153089	0.00028741	38	3	False	ON007145.1	0.999914	0.9964
OP297881.1	v45_d4_cu_gen_les	150135	3.33e-05	38	3	True	ON007145.1	0.999943	0.9976
ON152715.1	astronaunt_in_orbit_rash_HSV_1	151508	3.96e-05	39	2	True	ON152716.1	0.999962	0.9984
ON152716.1	astronaunt_post_orbit_saliva_HSV_1	151060	5.296e-05	39	2	False	ON152715.1	0.999962	0.9984
ON513441.1	nan	152089	0.0	40	1	True	ON960054.1	0.996551	0.8694
ON783214.1	B^3x1.1A	152108	0.0	41	1	True	ON783217.1	0.987989	0.6354
ON783215.1	B^3x1.1B	153542	0.0	42	1	True	ON783214.1	0.986439	0.6028
ON783216.1	B^3x1.1C	151352	0.0	43	1	True	ON783217.1	0.987563	0.6262
ON783217.1	B^3x1.1D	154773	0.0	44	1	True	ON783214.1	0.987989	0.6354
ON960054.1	HSV1-San-Francisco-USA-1982-H193-CSF	150283	5.323e-05	45	2	False	ON960055.1	0.999919	0.9966
ON960055.1	HSV1-San-Francisco-USA-1982-H193-BB	152645	5.241e-05	45	2	True	ON960054.1	0.999919	0.9966
ON960056.1	HSV1-San-Francisco-USA-1980-EKN	152443	0.01546808	46	1	True	OP297886.1	0.996796	0.8778
ON960057.1	HSV1-San-Francisco-USA-1979-DAB1	151117	1.985e-05	47	1	True	OP297862.1	0.994582	0.8058
ON960058.1	HSV1-San-Francisco-USA-1979-H144	151430	0.02166017	48	1	True	OP297885.1	0.996064	0.853
ON960059.1	HSV1-San-Francisco-USA-1974-HTZ	150357	2.66e-05	49	1	True	LT594105.1	0.995852	0.846
ON960061.1	HSV1-Atlanta-USA-1965-E377	151177	2.646e-05	50	1	True	OP297871.1	0.993745	0.7808
OP297860.1	HSV1-v60_d3_cu_gen_les	152526	0.00011801	51	1	True	PZ169709.1	0.997008	0.8852
OP297861.1	HSV1-v70_d1_cu_gen_les	149598	4.679e-05	52	1	True	OQ724835.1	0.995294	0.828
OP297862.1	HSV1-v73_d4_cu_gen_les	153232	0.00129216	53	1	True	OQ724912.1	0.997625	0.9072
OP297863.1	HSV1-v61_d2_cu_gen_les	150817	2.652e-05	54	1	True	ON152716.1	0.997481	0.902
OP297866.1	HSV1-v71_d395_cu_gen_les	151281	0.00108408	55	1	True	PZ169693.1	0.998235	0.9298
OP297867.1	HSV1-v52_d84_cu_gen_les	150722	2.654e-05	56	1	True	OQ724833.1	0.995117	0.8224
OP297870.1	HSV1-v58_d1_cu_gen_les	151565	5.938e-05	57	1	True	OQ724834.1	0.996046	0.8524
OP297871.1	HSV1-v69_d2_cu_gen_les	151422	6.6e-06	58	1	True	OQ724863.1	0.995828	0.8452
OP297872.1	HSV1-v62_d3_cu_gen_les	149910	0.00132079	59	1	True	PZ169693.1	0.997302	0.8956
OP297873.1	HSV1-v54_d71_cu_gen_les	150814	5.968e-05	60	1	True	ON960054.1	0.997145	0.89
OP297874.1	HSV1-v74_d193_cu_gen	150377	0.0	61	1	True	OQ724833.1	0.995488	0.8342
OP297877.1	HSV1-v66_d6_cu_gen	150184	2.663e-05	62	1	True	ON152715.1	0.99644	0.8656
OP297879.1	HSV1-v63_d284_cu_oral	150722	2.654e-05	63	1	True	MH999846.1	0.997014	0.8854
OP297880.1	HSV1-v68_d8_cu_gen_les	148988	4.027e-05	64	1	True	OP297862.1	0.996668	0.8734
OP297882.1	HSV1-v76_d266_cu_gen_les	150499	2.658e-05	65	1	True	OQ724868.1	0.997375	0.8982
OP297884.1	HSV1-v57_d3_cu_gen_les	156387	8.952e-05	66	1	True	MH999846.1	0.998706	0.9478
OP297885.1	HSV1-v67_d346_cu_gen_les	149990	3.334e-05	67	1	True	OP297886.1	0.997865	0.916
OP297886.1	HSV1-v72_d53_cu_gen_les	152277	2.627e-05	68	1	True	OP297885.1	0.997865	0.916
OP871840.1	INV-11A	154353	0.0	69	1	True	OP871857.1	0.998784	0.9508
OP871841.1	INV-15B	156713	0.0	70	1	True	OP871843.1	0.998587	0.9432
OP871842.1	INV-16D	155161	0.00023846	71	1	True	OP871840.1	0.998582	0.943
OP871843.1	INV-16E	159092	0.0	72	1	True	OP871841.1	0.998587	0.9432
OP871844.1	INV-17A	154234	0.0	73	1	True	OP871859.1	0.998535	0.9412
OP871845.1	INV-20A	154095	0.0	74	1	True	OP871850.1	0.998118	0.9254
OP871846.1	INV-20C	154107	0.0	75	1	True	OP871841.1	0.998193	0.9282
OP871847.1	INV-22B	155163	0.0	76	2	True	OP871848.1	0.999828	0.9928
OP871848.1	INV-22C	153324	0.0	76	2	False	OP871847.1	0.999828	0.9928
OP871849.1	INV-25B	154157	0.0	77	1	True	OP871851.1	0.997887	0.9168
OP871850.1	INV-25C	153240	0.0	78	1	True	OP871847.1	0.998288	0.9318
OP871851.1	INV-25D	155512	0.0	79	1	True	OP871859.1	0.998267	0.931
OP871852.1	INV-NN	155472	0.0	80	3	False	OP871856.1	0.999861	0.9942
OP871856.1	INV-2C	155161	0.0	80	3	False	OP871852.1	0.999861	0.9942
OP871859.1	INV-9B	156328	0.0	80	3	True	OP871852.1	0.999099	0.9632
OP871854.1	INV-1G	153201	0.0	81	1	True	OP871841.1	0.998016	0.9216
OP871855.1	INV-2B	155681	0.0	82	1	True	OP871858.1	0.998593	0.9434
OP871857.1	INV-7A	153807	0.0	83	1	True	OP871859.1	0.998973	0.9582
OP871858.1	INV-7E	154992	0.0	84	1	True	OP871855.1	0.998593	0.9434
OQ724831.1	nan	152739	0.0	85	2	True	OQ724834.1	0.99999	0.9996
OQ724834.1	BP-C4	152541	0.0	85	2	False	OQ724831.1	0.99999	0.9996
OQ724832.1	BP-C2	152898	0.0	86	1	True	OQ724890.1	0.998514	0.9404
OQ724833.1	BP-C3	154130	0.0	87	1	True	OQ724934.1	0.995791	0.844
OQ724835.1	BP-C5	152332	0.0	88	1	True	OQ724867.1	0.996504	0.8678
OQ724836.1	BP-C8	152674	0.0	89	1	True	OP297862.1	0.996333	0.862
OQ724863.1	BP-C9	152893	0.0	90	1	True	PZ169677.1	0.996375	0.8634
OQ724864.1	BP-C11	153030	0.0	91	1	True	LT594105.1	0.995656	0.8396
OQ724865.1	BP-C12	152858	0.0	92	2	False	OQ724940.1	0.999433	0.9766
OQ724940.1	BP-L13	152962	0.0	92	2	True	OQ724865.1	0.999433	0.9766
OQ724866.1	BP-C14	152567	0.0	93	1	True	PZ169688.1	0.995389	0.831
OQ724867.1	BP-C15	152381	0.0	94	1	True	OQ724890.1	0.997269	0.8944
OQ724868.1	nan	153167	0.0	95	1	True	OP297882.1	0.997375	0.8982
OQ724888.1	nan	152311	0.0	96	1	True	OQ724910.1	0.99584	0.8456
OQ724889.1	BP-K3	152277	0.0	97	1	True	OP297870.1	0.995913	0.848
OQ724890.1	BP-K4	151917	0.0	98	1	True	OQ724832.1	0.998514	0.9404
OQ724891.1	BP-K5	154135	0.0	99	1	True	OP297862.1	0.996034	0.852
OQ724892.1	BP-K6	153130	0.0	100	1	True	OQ724833.1	0.994971	0.8178
OQ724893.1	BP-K8	154330	0.0	101	1	True	PZ169688.1	0.994641	0.8076
OQ724894.1	BP-K9	153885	0.0	102	1	True	MN925871.1	0.997865	0.916
OQ724895.1	BP-K10	151502	0.0	103	1	True	OQ724910.1	0.994602	0.8064
OQ724910.1	BP-K11	153536	0.0	104	1	True	OQ724888.1	0.99584	0.8456
OQ724911.1	BP-K12	152470	0.0	105	2	True	OQ724941.1	0.999933	0.9972
OQ724941.1	BP-L14	152371	0.0	105	2	False	OQ724911.1	0.999933	0.9972
OQ724912.1	BP-K13	152231	0.0	106	1	True	OP297862.1	0.997625	0.9072
OQ724914.1	BP-K16	153180	0.0	107	1	True	PZ169689.1	0.994983	0.8182
OQ724915.1	nan	155000	0.0	108	1	True	OQ724912.1	0.996232	0.8586
OQ724932.1	BP-L1	152262	0.0	109	1	True	PZ169688.1	0.99481	0.8128
OQ724933.1	BP-L2	153614	0.0	110	1	True	OQ724867.1	0.995445	0.8328
OQ724934.1	BP-L4	151488	0.0	111	1	True	OQ724867.1	0.996691	0.8742
OQ724935.1	BP-L5	153093	0.0	112	1	True	OQ724867.1	0.996118	0.8548
OQ724936.1	BP-L9	153186	0.0	113	1	True	PZ169688.1	0.995834	0.8454
OQ724938.1	BP-L11	153572	0.0	114	1	True	PZ169709.1	0.995569	0.8368
OQ724939.1	BP-L12	153916	0.0	115	1	True	OQ724868.1	0.996106	0.8544
OR405519.1	nan	157769	0.0	116	1	True	OZ348811.1	0.99774	0.9114
OR771685.1	nan	151357	0.00058141	117	1	True	OP297862.1	0.996598	0.871
OZ348988.1	nan	151781	0.02602434	118	1	True	OP297885.1	0.9961	0.8542
OZ349004.1	nan	151741	0.0243507	119	1	True	OQ724910.1	0.99468	0.8088
PQ569920.1	nan	151817	0.0	120	1	True	OQ724867.1	0.995507	0.8348
PV146402.1	SJZ196/2019	150552	0.0	121	1	True	PV146403.1	0.995828	0.8452
PV146403.1	GZ291/2015	150609	0.0	122	1	True	MH999839.1	0.99641	0.8646
PZ169677.1	A_d6_skin_culture	150736	5.307e-05	123	5	True	PZ169679.1	0.999981	0.9992
PZ169678.1	A_d6_skin	150663	5.31e-05	123	5	False	PZ169677.1	0.999967	0.9986
PZ169679.1	A_d6_swab_culture	150493	5.316e-05	123	5	False	PZ169677.1	0.999981	0.9992
PZ169681.1	A_d7_eye_culture	150698	5.309e-05	123	5	False	PZ169677.1	0.999948	0.9978
PZ169683.1	A_d7_plasma	149922	5.336e-05	123	5	False	PZ169679.1	0.999928	0.997
PZ169687.1	X_d8_skin	151207	9.259e-05	124	1	True	OQ724894.1	0.996951	0.8832
PZ169688.1	Y_d8_eye	152571	2.622e-05	125	1	True	OP297862.1	0.996784	0.8774
PZ169689.1	Y_d8_skin_culture	150583	5.313e-05	126	2	False	PZ169690.1	1.0	1.0
PZ169690.1	Y_d8_skin	152426	3.28e-05	126	2	True	PZ169689.1	1.0	1.0
PZ169693.1	W_d15_skin_culture	150277	4.658e-05	127	2	True	PZ169694.1	0.999928	0.997
PZ169694.1	W_d15_skin	150207	4.66e-05	127	2	False	PZ169693.1	0.999928	0.997
PZ169695.1	B_d8_plasma_culture	150431	7.312e-05	128	3	False	PZ169698.1	0.999976	0.999
PZ169696.1	B_d8_plasma	151056	1.986e-05	128	3	True	PZ169695.1	0.999962	0.9984
PZ169698.1	B_d9_pharynx	150642	2.655e-05	128	3	False	PZ169695.1	0.999976	0.999
PZ169709.1	D_d12_skin_culture	150287	1.996e-05	129	2	True	PZ169710.1	0.999967	0.9986
PZ169710.1	D_d12_skin	150681	3.982e-05	129	2	False	PZ169709.1	0.999967	0.9986
PZ169711.1	F_d10_plasma_culture	150403	5.319e-05	130	1	True	PZ169678.1	0.9961	0.8542
PZ169713.1	Z_d9_eye_culture	150753	5.307e-05	131	4	True	PZ169716.1	0.999995	0.9998
PZ169716.1	Z_d10_culture	150594	6.64e-05	131	4	False	PZ169713.1	0.999995	0.9998
PZ169717.1	Z_d10_skin	150427	5.318e-05	131	4	False	PZ169716.1	0.999967	0.9986
PZ169719.1	Z_d40_skin_culture	150670	5.31e-05	131	4	False	PZ169713.1	0.999971	0.9988
